autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,per,ano
"FERNEDA, Edberto","LANZI, Lucirene Andréa Catini","BORTOLIN, Sueli","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,Informação & Informação (UEL. Online),2013
"FERREIRA, Jaider Andrade","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Informação & Sociedade (UFPB. Online),2013
"FREIRE, Isa Maria","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Informação & Sociedade (UFPB. Online),2012
"FREITAS, Juliana Lazzarotto","BUFREM, Leilah Santiago","OLIVEIRA, Ely Francina Tannuri de","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,AtoZ: novas práticas em informação e conhecimento,2014
"FUJITA, Mariângela Spotti Lopes","JORENTE, Maria José Vicentini",,,,,,,,,,,,Modapalavra E-periódico,2015
"FUJITA, Mariângela Spotti Lopes","AGUSTIN LACRUZ, María del Carmen","GÓMEZ DIAZ, Raquel",,,,,,,,,,,Perspectivas em Ciência da Informação (Online),2012
"FUJITA, Mariângela Spotti Lopes","DAL´EVEDOVE, Paula Regina",,,,,,,,,,,,Encontros Bibli,2013
"FUJITA, Mariângela Spotti Lopes","DAL´EVEDOVE, Paula Regina",,,,,,,,,,,,Informação & Informação (UEL. Online),2013
"FUJITA, Mariângela Spotti Lopes","GIL LEIVA, Isidoro",,,,,,,,,,,,Ciência da Informação (Online),2015
"FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,,Ponto de Acesso (UFBA),2013
"GARCÍA-GUTIÉRREZ, Antônio","MARTÍNEZ-ÁVILA, Daniel",,,,,,,,,,,,Knowledge Organization,2014
"GARCÍA-GUTIÉRREZ, Antônio","MARTÍNEZ-ÁVILA, Daniel",,,,,,,,,,,,El Profesional de la Información,2014
"GARCIA, Cristiane Luiza Salazar","ALMEIDA JÚNIOR, Oswaldo Francisco de","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,Revista EDICIC,2011
"GARCIA, Cristiane Luiza Salazar","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Tendências da Pesquisa Brasileira em Ciência da Informação,2014
"GONÇALEZ, Paula Regina Ventura Amorim","JORENTE, Maria José Vicentini",,,,,,,,,,,,Tendências da Pesquisa Brasileira em Ciência da Informação,2014
"GONÇALEZ, Paula Regina Ventura Amorim","SANTANA, Ricardo Cesar Gonçalves","JORENTE, Maria José Vicentini",,,,,,,,,,,Perspectivas em Ciência da Informação (Online),2015
"GRÁCIO, José Carlos Abbud","FADEL, Bárbara","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,Perspectivas em Ciência da Informação (Online),2013
