autor,autor,autor,autor,autor,autor,autor,autor,per,ano
"LAMPOGLIA, Francis","MIOTELLO, Valdemir","ROMÃO, Lucília Maria Sousa",,,,,,Todas as Letras (São Paulo),2012
"LAMPOGLIA, Francis","MIOTELLO, Valdemir","ROMÃO, Lucília Maria Sousa",,,,,,Texto Livre,2012
"GRISOTO, Ana Paula","SANT'ANA, Ricardo César Gonçalves","SANTAREM SEGUNDO, José Eduardo",,,,,,Revista Ibero-Americana de Ciência da Informação,2015
"GIORGENON, Daniela","ROMÃO, Lucília Maria Sousa","COSTA, Thaís de Araujo da","MEDEIROS, Vanise Gomes de",,,,,Intersecções,2015
"GIORGENON, Daniela","ROMÃO, Lucília Maria Sousa",,,,,,,Vértices (São Paulo),2012
"GIORGENON, Daniela","ROMÃO, Lucília Maria Sousa",,,,,,,Psicologia em Revista (Impressa),2013
"GIORGENON, Daniela","ROMÃO, Lucília Maria Sousa","PACIFICO, Soraya Maria Romano",,,,,,Tempo Psicanalítico,2014
"GARCIA, Leonardo Guimarães","PINHEIRO, Cíntia Braga Ferreira",,,,,,,Encontros Bibli,2015
"GARCIA, Leonardo Guimarães",,,,,,,,Encontros Bibli,2013
"GARCIA, Leonardo Guimarães",,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2011
"GARCIA, Dantielli Assumpção","ROMÃO, Lucília Maria Sousa",,,,,,,Conexão Letras,2014
"GARCIA, Dantielli Assumpção","ROMÃO, Lucília Maria Sousa",,,,,,,Rua (UNICAMP),2015
"GARCIA, Dantielli Assumpção","ROMÃO, Lucília Maria Sousa",,,,,,,Revista do GEL,2015
"GARCIA, Dantielli Assumpção","ROMÃO, Lucília Maria Sousa",,,,,,,Estudos Linguísticos,2015
"GARCIA, Dantielli Assumpção","ROMÃO, Lucília Maria Sousa",,,,,,,Linguagem em (Dis)curso (Impresso),2015
"FUSATTO, Melissa Pedroso","SILVA, Márcia Regina da",,,,,,,Biblioteca Escolar em Revista,2014
"FERREIRA, Sueli Mara Soares Pinto",,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2013
"FERREIRA, Sueli Mara Soares Pinto",,,,,,,,"RECIIS. Revista eletrônica de comunicação, informação & inovação em saúde",2014
"FERREIRA, Sueli Mara Soares Pinto","MARTINS, Dalton Lopes",,,,,,,Liinc em Revista,2013
"FERREIRA, Sueli Mara Soares Pinto","MARTINS, Dalton Lopes",,,,,,,Em Questão,2012
"FERREIRA, Sueli Mara Soares Pinto","GADELHA NETO, Zacharias da Costa","GAMBA, Camila Molgara",,,,,,Ciência da Informação (Online),2012
"FERREIRA, Bruno Cesar de Freitas","CASTRO FILHO, Cláudio Marcondes de",,,,,,,Rebecin,2015
"FERRAREZI, Ludmila","ROMÃO, Lucília Maria Sousa",,,,,,,Biblioteca Escolar em Revista,2014
"FERRAREZI, Ludmila  ","ROMÃO, Lucília Maria Sousa",,,,,,,Biblios,2012
"FERRAREZI, Ludmila","ROMÃO, Lucília Maria Sousa",,,,,,,Signotica (UFG),2012
"FERRAREZI, Ludmila","ROMÃO, Lucília Maria Sousa",,,,,,,Linguagem em (Dis)curso (Impresso),2013
"FERRAREZI, Ludmila  ","ROMÃO, Lucília Maria Sousa",,,,,,,Leitura. Teoria & Prática,2012
"FERRAREZI, Ludmila","ROMÃO, Lucília Maria Sousa","PACÍFICO, Soraya Maria Romano",,,,,,Cadernos de Estudos Linguísticos (UNICAMP),2012
"FENERICK, Gabriele Maris Pereir","SILVA, Márcia Regina da",,,,,,,Biblos,2015
"FARIA, Daiana de Oliveira  ","ROMÃO, Lucília Maria Sousa",,,,,,,Texto Digital (UERJ),2011
"FARIA, Daiana de Oliveira","ROMÃO, Lucília Maria Sousa",,,,,,,Entremeios,2013
"FARIA, Daiana de Oliveira","ROMÃO, Lucília Maria Sousa",,,,,,,Linguasagem (São Paulo),2012
"FARIA, Daiana de Oliveira","ROMÃO, Lucília Maria Sousa",,,,,,,Linguasagem (São Paulo),2011
"FARIA, Ana Carolina Cintra","CASTRO FILHO, Cláudio Marcondes de",,,,,,,Ponto de Acesso (UFBA),2014
"ESPÍRITO SANTO, Sílvia Maria do",,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2011
"ESPÍRITO SANTO, Sílvia Maria do",,,,,,,,Prisma.com,2015
"ESPÍRITO SANTO, Sílvia Maria do",,,,,,,,Prisma.com,2013
"ESPÍRITO SANTO, Sílvia Maria do",,,,,,,,Páginas A & B: Arquivos & Bibliotecas,2015
"ESPÍRITO SANTO, Sílvia Maria do",,,,,,,,Transinformação,2011
"ESPÍRITO SANTO, Sílvia Maria do","SCARPINI, Neire Aparecida Machado","LORENZETTO, Carolina de Carvalho",,,,,,Revista EDICIC,2011
"ESPÍRITO SANTO, Sílvia Maria do","BARBOSA, Jeam Haroldo Oliveira","TIVERON, Juliana Dal Ponte",,,,,,Revista de Cultura e Extensão,2014
"DAMIAN, Ieda Pelogia Martins",,,,,,,,Revista de administração da Unimep,2015
"DAMIAN, Ieda Pelogia Martins","SILVA, Márcia Regina da",,,,,,,Ibersid (Zaragoza),2014
"DAMIAN, Ieda Pelogia Martins","SANTAREM SEGUNDO, José Eduardo","MERLO, Edgard Monforte",,,,,,Procedia Computer Science,2014
"DAMIAN, Ieda Pelogia Martins","MERLO, Edgard Monforte",,,,,,,Revista de Administração Pública (Impresso),2013
"DAMIAN, Ieda Pelogia Martins","MERLO, Edgard Monforte",,,,,,,Revista da FAE,2012
"DAMIAN, Ieda Pelogia Martins","MERLO, Edgard Monforte","NAGANO, Marcelo Seido",,,,,,African Journal of Business Management,2013
"DAMIAN, Ieda Pelogia Martins","MERLO, Edgard Monforte",,,,,,,REGE: Revista de Gestão USP,2014
"DAMIAN, Ieda Pelogia Martins","MERLO, Edgard Monforte",,,,,,,Contextus (Fortaleza),2014
"DAMIAN, Ieda Pelogia Martins","ALMEIDA, Marco Antônio de","RODRIGUES, Paloma Barbosa","MELLO, Tayná Abad Vieira de",,,,,Ibersid (Zaragoza),2015
"CRUZ, Denise Viuniski da Nova","ROMÃO, Lucília Maria Sousa",,,,,,,InCID: Revista de Ciência da Informação e Documentação,2011
"CRIPPA, Giulia",,,,,,,,Datagramazero (Rio de Janeiro),2015
"CRIPPA, Giulia",,,,,,,,Tendências da Pesquisa Brasileira em Ciência da Informação,2011
"CRIPPA, Giulia",,,,,,,,Ricerche di S/Confine,2012
"CRIPPA, Giulia",,,,,,,,Revista Letras,2013
"CRIPPA, Giulia",,,,,,,,Todas as Musas: Revista de Literatura e das Múltiplas Linguagens da Arte (Online),2014
"CRIPPA, Giulia",,,,,,,,Informação & Informação (UEL),2015
"CRIPPA, Giulia",,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2011
"CRIPPA, Giulia",,,,,,,,Informação & Informação (UEL),2015
"CRIPPA, Giulia","CARVALHO, Larissa Akabochi de",,,,,,,Encontros Bibli,2012
"CRIPPA, Giulia","ALMEIDA, Marco Antônio de",,,,,,,Em Questão,2011
"CRIPPA, Giulia","ALMEIDA, Marco Antônio de",,,,,,,ETD : Educação Temática Digital,2011
"CÔRTES JÚNIOR, Rogério","MERLO, Edgard Monforte","DAMIAN, Ieda Pelogia Martins",,,,,,REA: Revista Eletrônica de Administração (Franca. Online),2011
"COPPOLA JUNIOR, Claudinei","CASTRO FILHO, Cláudio Marcondes de",,,,,,,Biblionline (João Pessoa),2012
"CASTRO FILHO, Cláudio Marcondes de","VERGUEIRO, Waldomiro de Castro Santos",,,,,,,"Bibliotecas Universitárias: pesquisa, experiências e perspectivas",2011
