autor,autor,autor,autor,autor,autor,autor,autor,per,ano
"OLIVEIRA, Lúcia Maciel Barbosa de ",,,,,,,,Ponto.Urbe (USP),2012
"OLIVEIRA, Lúcia Maciel Barbosa de ",,,,,,,,Tempo e Argumento,2011
"OLIVEIRA, Lúcia Maciel Barbosa de ",,,,,,,,Datagramazero (Rio de Janeiro),2013
"OLIVEIRA, Lúcia Maciel Barbosa de ","SOUZA E SILVA, Liliana","MELEIRO, Alessandra","VALIATI, Leandro","PEREIRA, Roberto Nunes",,,,Revista C3,2012
"OLIVEIRA, Adriano Mendes de","FERREIRA, Héber Terra","CASIMIRO, Valdir Assis","SANTOS, Cibele Araujo Camargo Marques dos",,,,,Revista CRB-8 Digital,2011
"OLIVEIRA, Adriano Mendes de ","FERREIRA, Héber Terra","CASIMIRO, Valdir Assis","SANTOS, Cibele Araujo Camargo Marques dos",,,,,Perspectivas em Gestão & Conhecimento,2011
"MUGNAINI, Rogério","LEITE, Paula","LETA, Jacqueline ",,,,,,Ponto de Acesso (UFBA),2011
"MUGNAINI, Rogério","DIGIAMPIETRI, Luciano Antonio","OLIVEIRA, Laucivaldo Cardoso de","FERREIRA, Sueli Mara Soares Pinto",,,,,Em Questão,2012
"MUGNAINI, Rogério","DIGIAMPIETRI, Luciano Antonio","MENA-CHALCO, Jesus",,,,,,Transinformação,2014
"MUCHERONI, Marcos Luiz",,,,,,,,Tendências da Pesquisa em Ciência da Informação,2011
"MUCHERONI, Marcos Luiz","SILVA, José Fernando Modesto da",,,,,,,Tendências da Pesquisa em Ciência da Informação,2011
"MUCHERONI, Marcos Luiz","SILVA, José Fernando Modesto da",,,,,,,Ponto de Acesso (UFBA),2011
"MOURA, Amanda Pacini de","LARA, Marilda Lopes Ginez de",,,,,,,Perspectivas em Ciência da Informação,2012
"MOREIRA, Walter","LARA, Marilda Lopes Ginez de",,,,,,,Datagramazero (Rio de Janeiro),2012
"MARTINS, Mariana Thamires","SOARES, Maria Sueny Barbosa","FRANCELIN, Marivalde Moacir",,,,,,Informe: Estudos em Biblioteconomia e Gestão da Informação,2012
"MARTINS, Marcio Souza","LIMA, Vânia Mara Alves",,,,,,,Biblios (Lima),2013
"MARQUES, Verônica Silva Rodrigue","SANTOS, Cibele Araujo Camargo Marques dos",,,,,,,Pesquisa Brasileira em Ciência da Informação e Biblioteconomia,2015
"MAIMONE, Giovana Deliberali",,,,,,,,Anales de Documentación (Internet),2011
"MAIMONE, Giovana Deliberali ","TALAMO, Maria de Fátima Gonçalves Moreira",,,,,,,Vozes dos Vales,2014
"MAIMONE, Giovana Deliberali ","TALAMO, Maria de Fátima Gonçalves Moreira",,,,,,,Datagramazero (Rio de Janeiro),2011
"MAIMONE, Giovana Deliberali","TALAMO, Maria de Fátima Gonçalves Moreira",,,,,,,Revista Ciencias de la Documentación,2015
"MAIMONE, Giovana Deliberali","TALAMO, Maria de Fátima Gonçalves Moreira","SILVEIRA, Naira Christofoletti ",,,,,,Informação & sociedade (UFPB. Online),2011
"LUCAS, Elaine Rosangela de Oliveira","LARA, Marilda Lopes Ginez de","PINTO, Adilson Luiz",,,,,,Datagramazero (Rio de Janeiro),2013
"LUCAS, Elaine Rosangela de Oliveira ","LARA, Marilda Lopes Ginez de",,,,,,,Scire (Zaragoza),2015
"LIMA, Vânia Mara Alves ",,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2013
"LIMA, Vânia Mara Alves ","BARBANTI, Cristina Hilsdorf",,,,,,,Labor & Engenho,2015
"LEMOS, Charlene Kathlen de","OLIVEIRA, Lúcia Maciel Barbosa de",,,,,,,Revista CRB-8 Digital,2013
"LEITE, Paula ","MUGNAINI, Rogério","LETA, Jacqueline ",,,,,,Scientometrics (Print),2011
"LARA, Marilda Lopes Ginez de ",,,,,,,,Scire (Zaragoza),2014
"LARA, Marilda Lopes Ginez de ",,,,,,,,Anales de Documentación (Internet),2012
"LARA, Marilda Lopes Ginez de ",,,,,,,,Encontros Bibli,2015
"LARA, Marilda Lopes Ginez de ",,,,,,,,Transinformação,2013
"LARA, Marilda Lopes Ginez de ",,,,,,,,Informação & Informação (UEL. Online),2011
"KOBASHI, Nair Yumiko","SANTOS, Cibele Araujo Camargo Marques dos",,,,,,,Revista EDICIC,2011
"KOBASHI, Nair Yumiko","FRANCELIN, Marivalde Moacir",,,,,,,Informação & Informação (UEL. Online),2011
"JUSTO, João ","PALETTA, Francisco Carlos",,,,,,,Engenharia (São Paulo),2011
"JUNQUEIRA, Antônio Hélio","PASSARELLI, Brasilina",,,,,,,Logos (UERJ. Impresso),2011
"ISIQUEIRA, Ivan Claudio Pereira ",,,,,,,,Ciência da Informação (Impresso),2011
"IGAMI, Mery Piedad Zamudio ","BRESSIANI, José Carlos","MUGNAINI, Rogério",,,,,,Journal of Scientometric Research,2014
"GROSSMANN, Martin",,,,,,,,ZIF,2014
"GROSSMANN, Martin",,,,,,,,Revista Errata,2012
"GROSSMANN, Martin",,,,,,,,Revista Errata,2012
"FUJINO, Asa",,,,,,,,Revista EDICIC,2011
"FUJINO, Asa","VASCONCELOS, Michele de Oliveira",,,,,,,Revista CRB-8 Digital,2011
"FUJINO, Asa","SILVA, Adaci Aparecida Oliveira Rosa da",,,,,,,Em Questão,2015
"FRANCELIN, Marivalde Moacir",,,,,,,,Datagramazero (Rio de Janeiro),2013
"FRANCELIN, Marivalde Moacir",,,,,,,,Ponto de Acesso (UFBA),2012
"FRANCELIN, Marivalde Moacir",,,,,,,,Revista Digital de Biblioteconomia e Ciência da Informação,2011
"FRANCELIN, Marivalde Moacir",,,,,,,,Liinc em Revista,2015
"FRANCELIN, Marivalde Moacir",,,,,,,,Transinformação,2015
"FRANCELIN, Marivalde Moacir ","KOBASHI, Nair Yumiko",,,,,,,Ciência da Informação (Online),2011
"DIGIAMPIETRI, Luciano Antonio","MUGNAINI, Rogério","MENA-CHALCO, Jesus","DELGADO, Karina Valdivia","PEREZ-ALCAZAR, José de Jesús",,,,Em Questão,2014
"DIGIAMPIETRI, Luciano Antonio","MENA-CHALCO, Jesus","PEREZ-ALCAZAR, José de Jesús","DELGADO, Karina Valdivia","TUESTA, Esteban Fernandez","MUGNAINI, Rogério","LIMA, Jamison José da Silva","SILVA, Gabriela Scardine",RESI : Revista Eletrônica de Sistemas de Informação,2015
"CÔRTES, Pedro Luiz ",,,,,,,,Revista de Gestão da Tecnologia e Sistemas de Informação (Online),2013
