Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"PASSARELLI, Brasilina","JUNQUEIRA, Antônio Hélio","BOTELHO, Rodrigo Eduardo Francisco",,,,,Congresso Ibero-americano de Comunicação (IBERCOM),2011
"PASSARELLI, Brasilina","JUNQUEIRA, Antônio Hélio","GUZZI, Drica","ANGELUCI, Alan César Belo",,,,Annual Conference International Council for Education Media,2013
"PALETTA, Francisco Carlos ",,,,,,,Programa Benchmarking Ambiental Brasileiro,2011
"PALETTA, Francisco Carlos ",,,,,,,Programa Benchmarking Ambiental Brasileiro,2011
"PALETTA, Francisco Carlos ",,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2015
"PALETTA, Francisco Carlos ",,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2014
"PALETTA, Francisco Carlos ",,,,,,,International Conference on Information Systems and Technology Management (CONTECSI),2014
"PALETTA, Francisco Carlos ",,,,,,,IFLA WLIC,2014
"PALETTA, Francisco Carlos ",,,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2015
"PALETTA, Francisco Carlos ",,,,,,,Congresso ISKO Espanha/Portugal,2015
"PALETTA, Francisco Carlos","PENEDO, Sergio ","YSHII, Yoshiharu","MENDONCA, Alberto Soares Lúcio ",,,,"Safety, Health and Environment World Congress (SHEWC)",2012
"PALETTA, Francisco Carlos ","PENEDO, Sergio ","NIGRI, Victor Elias",,,,,"Safety, Health and Environment World Congress (SHEWC)",2012
"PALETTA, Francisco Carlos","PENEDO, Sergio ","FREITAS, Fernando Marques de",,,,,"Safety, Health and Environment World Congress (SHEWC)",2012
"PALETTA, Francisco Carlos","PENEDO, Sergio ","CYPRIANI, André Morais","CALDAS, Bruno Adoglio","OSMAN, Mohamed Ali","ZARZUR, Ivan Waldomiro Chohfi Cury",,"Safety, Health and Environment World Congress (SHEWC)",2012
"PALETTA, Francisco Carlos ","PENEDO, Sergio ","ALBERTO, Eduardo Zarzur","RECCHIA, Fabrício Mofarrej",,,,"Safety, Health and Environment World Congress (SHEWC)",2012
"PALETTA, Francisco Carlos","PASSARELLI, Brasilina","ANGELUCI, Alan César Belo","JUNQUEIRA, Antônio Hélio",,,,Congresso ISKO Espanha/Portugal,2013
"PALETTA, Francisco Carlos","PALETTA, Fátima Aparecida Colombo",,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2014
"PALETTA, Francisco Carlos","MUCHERONI, Marcos Luiz",,,,,,International Conference on Information Systems and Technology Management (CONTECSI),2014
"PALETTA, Francisco Carlos","MELHADO, Ana Lúcia Rocha de Souza","PENEDO, Sergio","OLIVEIRA, Giuliano Silva de",,,,"Safety, Health and Environment World Congress (SHEWC)",2012
"PALETTA, Francisco Carlos ","MALDONADO, Edison Puig",,,,,,International Conference on Systems Engineering and Information Technology (INTERTECH),2014
"PALETTA, Francisco Carlos ","MALDONADO, Edison Puig",,,,,,World Congress on Communication and Arts (WCCA),2014
"PALETTA, Francisco Carlos","MALDONADO, Edison Puig","AGUIAR, Audilio Gonzáles",,,,,"Safety, Health and Environment World Congress (SHEWC)",2014
"PALETTA, Francisco Carlos","FERNANDES, Leandro Raniero",,,,,,Encontro Ibèrico EDICIC,2011
"PALETTA, Francisco Carlos","DOU, Henri","VIEIRA JR., Nilson Dias","DUPIN, Patricia",,,,Intenational Competitive Intelligence Conference ,2011
"PALETTA, Francisco Carlos","BRITO, Thalita Doreto","MONTANARI, Thiago Augusto",,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2014
"PALETTA, Francisco Carlos","AYROSA, Ana Maria","METTA, Francine Ilana Kovari",,,,,"Safety, Health and Environment World Congress (SHEWC)",2012
"PAIVA, Daniel Costa de","MUCHERONI, Marcos Luiz",,,,,,Workshop sobre Aspectos da Interação Humano-Computador para a Web Social,2012
"ORTH, Gabriela Previdello Ferreira","LARA, Marilda Lopes Ginez de",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2013
"ORTH, Gabriela Previdello Ferreira","LARA, Marilda Lopes Ginez de",,,"NEVES, Silvia Soares das",,,Congresso ISKO Espanha/Portugal,2013
"OLIVEIRA, Lúcia Maciel Barbosa de",,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2011
