Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"FERNANDES, Hylio Laganá","MANDOWSKY, Denise","OLIVEIRA, Dulciana Garrido","NHAMBIQUARA, Duino Rikbaktsa","OLIVEIRA, Emerson Chaves de","BUTSE, Gedeão Tewate","KALAPALO, Jeika","MARINHO, Jesus","ROBRI, José","BOROPONEPÁ, Marilene","BRACCIALI, Marcia Regina Pires","FERRAZ, Maria Cristina Comunian","CARON, Monica Filomena",Congreso Iberoamericano de Extensión Universitaria,2013
"FERRARI, Maira Miller ","FERRAZ, Maria Cristina Comunian",,,,,,,,,,,,Encontro Internacional de Ciências Socias,2012
"FERREIRA, Suelen Camilo ","GRACIOSO, Luciana de Souza",,,,,,,,,,,,Congresso Ibero-Americano de Bibliotecas Escolares,2015
"FIORONI, Joyce ","AMARAL, Roniberto Morato do ",,,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2012
"FORMENTON, Danilo","GRACIOSO, Luciana de Souza",,,,,,,,,,,,CONFERENCIA INTERNACIONAL BIREDIAL-ISTEC,2014
"FRANCA, Andressa de Almeida","HAYASHI, Maria Cristina Piumbato Innocentini","HAYASHI, Carlos Roberto Massao",,,,,,,,,,,International Public Communication of Science and Technology Conference,2014
"FREITAS, Lidiane Marques","SIMIONATO, Ana Carolina","ALBUQUERQUE, Ana Cristina de",,,,,,,,,,,Seminário Científico Arquivologia e Biblioteconomia,2015
"FUJITA, Mariângela Spotti Lopes ","REDÍGOLO, Franciele Marques","MARTINHO, Noemi Oliveira","DAL' EVEDOVE, Paula Regina",,,,,,,,,,International Conference on Qualitative and Quantitative Methods in Libraries,2011
"FURNIVAL, Ariadne Chloë Mary ","ALMEIDA, Bianca Miranda de",,,,,,,,,,,,CONFERENCIA INTERNACIONAL BIREDIAL-ISTEC,2014
"FURNIVAL, Ariadne Chloë Mary ","SILVA-JEREZ, Nelson Sebastian",,,,,,,,,,,,"ISIC, the Information Behaviour Conference",2014
"GIGANTE, Luciara Cid","FERRAZ, Maria Cristina Comunian","RIGOLIN, Camila Carneiro Dias",,,,,,,,,,,"Simpósio Nacional de Ciência, Tecnologia e Sociedade",2012
"GIGANTE, Luciara Cid","FERRAZ, Maria Cristina Comunian","RIGOLIN, Camila Carneiro Dias",,,,,,,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2011
"GLORIA, Marcelo Guimarães","OPRIME, Pedro Carlos","SILVA, Sergio Luis da",,,,,,,,,,,Encontro Nacional de Engenharia de Produção (ENEGEP),2015
"GONÇALVES, Pâmella Benevides","AMARAL, Roniberto Morato do ",,,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2012
"GRACIOSO, Luciana de Souza ","ZAFALON, Zaira Regina","BOCCATO, Vera Regina Casari","GASPAR, Nádea Regina","FERRAZ, Maria Cristina Comunian","HOFFMANN, Wanda Aparecida Machado ","FARIA, Leandro Innocentini Lopes de",,,,,,,EDICIC,2011
"GRACIOSO, Luciana de Souza","ALVES, Ariovaldo","FERREIRA, Carlos Eduardo Barbosa","NASCIMENTO, Débora","ANGELON, Elisabete Maria","CASTRO, Tainara Toriká Kiri de","REDONDO, Suelen",,,,,,,Congresso Ibero-Americano de Bibliotecas Escolares,2015
"GRACIOSO, Luciana de Souza","BERNARDINO, Mayara Cristina","SIMOES, Maria da Graça Melo","COSTA, Luzia Sigoli Fernandes",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"GRACIOSO, Luciana de Souza","SILVEIRA, Letícia Reis da",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2012
"GRACIOSO, Luciana de Souza","BERNARDINO, Mayara Cristina","SIMOES, Maria da Graça Melo","COSTA, Luzia Sigoli Fernandes",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"GRACIOSO, Luciana de Souza","ZAFALON, Zaira Regina","BOCCATO, Vera Regina Casari","HOFFMANN, Wanda Aparecida Machado","FERRAZ, Maria Cristina Comunian","FARIA, Leandro Innocentini Lopes de",,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2011
"GRACIOSO, Luciana de Souza ",,,,,,,,,,,,,"Knowledge Generation, Comunication and Management",2011
"GRACIOSO, Luciana de Souza ",,,,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"GRACIOSO, Luciana de Souza",,,,,,,,,,,,,Seminário Nacional de Documentação do Patrimônio Arquitetônico com o uso das tecnologias digitais,2012
"GUIMARÃES, Vera Aparecida Lui ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2012
"HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,Seminário de Epistemologia e Teorias da Educação,2013
"HEBLING, Milene Cristina","HAYASHI, Carlos Roberto Massao",,,,,,,,,,,,Congresso Luso-Brasileiro de História da Educação (Colubhe),2012
"HEBLING, Milene Cristina","HAYASHI, Carlos Roberto Massao",,,,,,,,,,,,Congresso Luso-Brasileiro de História da Educação (Colubhe),2012
"HEBLING, Milene Cristina ","HAYASHI, Carlos Roberto Massao",,,,,,,,,,,,Encontro Iberoamericano de Educação,2011
"HOFFMANN, Wanda Aparecida Machado  ","ZABOTTO, Cristina Nardin","BENZE, Benedito Galvão",,,,,,,,,,,Congresso Latino Americano de Opinão Pública da WAPOR,2011
"JOÃO, Aline Cristina de","AMARAL, Roniberto Morato do ","PRADO, Ana Mara Marques da Cunha",,,,,,,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2013
"JUGEND, Daniel  ","SILVA, Sergio Luis da","ALMEIDA, Luís Fernando Magnanini de",,,,,,,,,,,Congreso Latino-Iberoamericano de géstion tecnologica - ALTEC,2011
"JUGEND, Daniel","SILVA, Sergio Luis da","OPRIME, Pedro Carlos ",,,,,,,,,,,"Simpósio de Administração da Produção, Logística e Operações Internacionais (SIMPOI)",2011
"JUGEND, Daniel  ","SILVA, Sergio Luis da",,,,,,,,,,,,Congresso Brasileiro de Gestão de Desenvolvimento de Produto,2011
"JUGEND, Daniel  ","SILVA, Sergio Luis da",,,,,,,,,,,,Clute Institute International Conference,2012
"JUGEND, Daniel ","SILVA, Sergio Luis da","SALGADO, Manoel Henrique","LEONI, Juliene Navas",,,,,,,,,,International CINet Conference,2014
"JUGEND, Daniel ","SILVA, Sergio Luis da","SALGADO, Manoel Henrique",,,,,,,,,,,Congresso da Associação Latino-Iberoamericana de Gestão de Tecnologia,2013
"JUGEND, Daniel ","SILVA, Sergio Luis da",,,,,,,,,,,,Congresso da Associação Latino-Iberoamericana de Gestão de Tecnologia,2013
"KOBAYASHI, Elizabete","RIGOLIN, Camila Carneiro Dias","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,Encontro Anual da ANPOCS,2014
"LEITE, Ana Cláudia de Oliveira","FERRAZ, Maria Cristina Comunian",,,,,,,,,,,,Seminário do Programa de Pós-graduação em Sociologia da UFSCar,2011
"LEITE, André Luís Castelo Branco ","MILANEZ, Douglas Henrique","FARIA, Leandro Innocentini Lopes de","GREGOLIN, José Angelo Rodrigues",,,,,,,,,,International Congress on the Science and Technology of Ironmaking,2012
"LEONI, Juliene Navas","JUGEND, Daniel","SALGADO, Manoel Henrique","SILVA, Mila Gibran","SILVA, Sergio Luis da",,,,,,,,,Congresso Brasileiro de Gestão de Desenvolvimento de Produto,2013
"LIBARDI, Paulo Roberto","FERRAZ, Maria Cristina Comunian",,,,,,,,,,,,"Seminário Internacional Empírika: Comunicação, Divulgação e Percepção de Ciência e Tecnologia",2012
"LMEIDA, Luís Fernando Magnanini de","AMARAL, Daniel Capaldo","SILVA, Sergio Luis da","CONFORTO, Edivandro Carlos",,,,,,,,,,Congresso Brasileiro de Gestão de Desenvolvimento de Produto,2011
"LOURENCO, Carolina","ZAFALON, Zaira Regina",,,,,,,,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2011
"MACHADO, Andréa Carla  ","BELLO, Suzelei Faria","PIZZANI, Luciana","ALMEIDA, Maria Amelia","HAYASHI, Maria Cristina Piumbato Innocentini ",,,,,,,,,Congresso Brasileiro de Nutrição e Congresso Ibero-Americano de Nutrição,2012
"MARTINELLI, Marcos Albertolia","HOFFMANN, Wanda Aparecida Machado",,,,,,,,,,,,Congressos da Associação Brasileira das Instituições de Pesquisa Tecnológica e Inovação (ABIPTI),2014
"MARTINS, Kelly Roberta Pacheco  ","SILVA, Sergio Luis da","OLIVEIRA, José Eduardo de",,,,,,,,,,,Simpósio de Engenharia de Produção (SIMPEP),2011
"MELLO, Livia Coelho de","RIGOLIN, Camila Carneiro Dias",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2012
"MELLO, Livia Coelho de ","RIGOLIN, Camila Carneiro Dias",,,,,,,,,,,,"Seminário Brasileiro de Ciência, Tecnologia e Sociedade",2011
"MILANEZ, Douglas Henrique","AMARAL, Roniberto Morato do ","FARIA, Leandro Innocentini Lopes de","GREGOLIN, José Angelo Rodrigues",,,,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2012
"MILANEZ, Douglas Henrique  ","AMARAL, Roniberto Morato do ","FARIA, Leandro Innocentini Lopes de","GREGOLIN, José Angelo Rodrigues",,,,,,,,,,International Society of Scientometrics and Informetrics Conference (ISSI),2013
"MILANEZ, Douglas Henrique","AMARAL, Roniberto Morato do ","FARIA, Leandro Innocentini Lopes de","GREGOLIN, José Angelo Rodrigues",,,,,,,,,,International Society of Scientometrics and Informetrics Conference (ISSI),2013
"MILANEZ, Douglas Henrique","AMARAL, Roniberto Morato do ","FARIA, Leandro Innocentini Lopes de","GREGOLIN, José Angelo Rodrigues","CONSERVA JUNIOR, Antonio Carlos Alves",,,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2014
"MILANEZ, Douglas Henrique ","AMARAL, Roniberto Morato do ","FARIA, Leandro Innocentini Lopes de","GREGOLIN, José Angelo Rodrigues",,,,,,,,,,International Society of Scientometrics and Informetrics Conference (ISSI),2013
"MILANEZ, Douglas Henrique","AMARAL, Roniberto Morato do ","FARIA, Leandro Innocentini Lopes de","CHANCHETTI, Lucas Faccioni",,,,,,,,,,"Congresso Anual da Associação Brasileira de Metalurgia, Materiais e Mineração",2014
"MILANEZ, Douglas Henrique","AMARAL, Roniberto Morato do ","FARIA, Leandro Innocentini Lopes de","GREGOLIN, José Angelo Rodrigues","CONSERVA JUNIOR, Antonio Carlos Alves",,,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2014
"MILANEZ, Douglas Henrique","LEITE, André Luís Castelo Branco","SCOPEL, Felipe","GREGOLIN, José Angelo Rodrigues","FARIA, Leandro Innocentini Lopes de",,,,,,,,,"Congresso Anual da Associação Brasileira de Metalurgia, Materiais e Mineração",2012
"MILANEZ, Douglas Henrique","PERES, Lucas Salomao","FARIA, Leandro Innocentini Lopes de","GREGOLIN, José Angelo Rodrigues",,,,,,,,,,"Congresso Anual da Associação Brasileira de Metalurgia, Materiais e Mineração",2011
