Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"MADIO, Telma Campanha de Carvalho","SILVA, Luiz Antônio Santana da",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"MADIO, Telma Campanha de Carvalho","BIZELLO, Maria Leandra","MOREIRA, Walter","ALMEIDA, Carlos Cândido de","VALENTIM, Marta Lígia Pomim","FERNEDA, Edberto","RODRIGUEZ, Sonia Maria Troitiño","CASARIM, Helen de Castro Silva",,,,Encuentro de Directores e Docentes de Escuelas de Bibliotecología y Ciencia de la Información del MERCOSUR,2012
"MADIO, Telma Campanha de Carvalho","MACHADO, Bruno Henrique",,,,,,,,,,Seminário em Ciência da Informação (SECIN),2013
"MADIO, Telma Campanha de Carvalho","MACHADO, Bruno Henrique",,,,,,,,,,Workshop de Pesquisa em Ciência da Informação (WPCI),2013
"MADIO, Telma Campanha de Carvalho","ELLIOTT, Ariluci Goes",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"MADIO, Telma Campanha de Carvalho","ELLIOTT, Ariluci Goes",,,,,,,,,,Congresso Nacional de Arquivologia,2012
"MADIO, Telma Campanha de Carvalho","ELLIOTT, Ariluci Goes",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"MADIO, Telma Campanha de Carvalho","ALBUQUERQUE, Ana Cristina de",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"MADIO, Telma Campanha de Carvalho","ALBUQUERQUE, Ana Cristina de",,,,,,,,,,Encontro Nacional de Estudos da Imagem e Encontro Internacional de Estudos da Imagem,2013
"MACHADO, Bruno Henrique","MADIO, Telma Campanha de Carvalho",,,,,,,,,,Seminário Científico Arquivologia e Biblioteconomia: acesso à informação,2013
"MACHADO, Bruno Henrique","MADIO, Telma Campanha de Carvalho",,,,,,,,,,Encuentro Ibérico EDICIC,2015
"MACHADO, Bruno Henrique","MADIO, Telma Campanha de Carvalho",,,,,,,,,,Encontro Nacional de Estudos da Imagem e Encontro Internacional de Estudos da Imagem,2015
"LOUSADA, Mariana","VALENTIM, Marta Lígia Pomim","ALMEIDA JÚNIOR, Oswaldo Francisco de",,,,,,,,,Encontro da Associação de Educação e Investigação em Ciência da Informação da IberoAmérica e Caribe (EDICIC),2011
"LOPES, Elaine Cristina","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"LOPES, Elaine Cristina","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Workshop de Pesquisa em Informação e Mediação,2015
