Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"CRIVELLARO, Fernanda Furio","VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,,,,Seminário em Ciência da Informação (SECIN),2016
"SANTAREM, Vinícius","VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,,,,Seminário em Ciência da Informação (SECIN),2016
"TOGNOLI, Natália Bolfarini","GUIMARÃES, José Augusto Chaves",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2010
"FURTADO, Renata Lira ","VITORIANO, Marcia Cristina de Carvalho Pazin","BELUZZO, Regina Célia Baptista",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2016
"GARCIA MARCO, Francisco Javier","MORAES, João Batista Ernesto de","GARCIA MARCO, Luis Fernando","GUIMARÃES, José Augusto Chaves",,,,,,,,ISKO - Information Society for Knowledge Organization,2010
"KAJIMOTO, Natacha","VITORIANO, Marcia Cristina de Carvalho Pazin","CAVALCANTI, Lidia Eugenia",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2016
"ARAUJO, Paula Carina de","GUIMARÃES, José Augusto Chaves",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2016
"ARBOIT, Aline Elis","GUIMARÃES, José Augusto Chaves",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2016
"FERREIRA, Luan Henrique Giroto","ALMEIDA, Maria Fabiana Izidio de","VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,,,"Encontro Internacional Dados, Tecnologia e Informação",2016
"SUENAGA, Cynthia Maria Kiyonaga","MORAES, João Batista Ernesto de","TOGNOLI, Natália Bolfarini ",,,,,,,,,ISKO - Information Society for Knowledge Organization,2016
"CARRASCO, Laís Barbudo","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2016
"BARROS, Thiago Henrique Bragato","MORAES, João Batista Ernesto de",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2010
"MILANI, Suellen Oliveira","GUIMARÃES, José Augusto Chaves",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2010
"CRIVELLARO, Fernanda Furio","VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,,,,"Encontro Internacional Dados, Tecnologia e Informação",2016
"ALMEIDA, Maria Fabiana Izidio de","PANCIERA, Roberta Pereira","VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,,,Seminário em Ciência da Informação (SECIN),2016
"GRÁCIO, Maria Cláudia Cabrini","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,International Conference on Science and Technology Indicators (STI),2016
"CASTANHA, Renata Cristina Gutierres","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2016
"SILVA, Deise Deolindo","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2016
"GRÁCIO, Maria Cláudia Cabrini","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2016
"CASTANHA, Renata Cristina Gutierres ","ROSAS, Fabio Sampaio","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,ISKO - Information Society for Knowledge Organization,2016
"HILÁRIO, Clara Mara","GRÁCIO, Maria Cláudia Cabrini","LIMA, Lidyane Silva",,,,,,,,,Encontro da Associação de Educação e Investigação em Ciência da Informação da IberoAmérica e Caribe (EDICIC),2016
"GRÁCIO, Maria Cláudia Cabrini","PAIVA, Cora Sofia Takaya","SOUZA, Patrícia S. O.",,,,,,,,,International Conference on Teaching Statistics,2010
"CUSTÓDIO, Pollyana Ágata Gomes da Rocha","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2010
"CUSTÓDIO, Pollyana Ágata Gomes da Rocha ","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,Jornada pedagógica UNESP,2010
"SUDSTROM, Admeire da Silva Santos","BIZELLO, Maria Leandra",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2016
"SUDSTROM, Admeire da Silva Santos","BIZELLO, Maria Leandra",,,,,,,,,,Seminário em Ciência da Informação (SECIN),2016
"BIZELLO, Maria Leandra",,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2010
"ALVES, Rachel Cristina Vesu",,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2016
"CONEGLIAN, Caio Saraiva","ALVES, Rachel Cristina Vesu","SANTOS, Plácida Leopoldina Ventura Amorim da Costa","SANTAREM SEGUNDO, Jose Eduardo",,,,,,,,"Encontro Internacional Dados, Tecnologia e Informação",2016
"CUNHA, Bruna Maria Campos da ","ALVES, Rachel Cristina Vesu",,,,,,,,,,"Encontro Internacional Dados, Tecnologia e Informação",2016
"TOGNOLI, Natália Bolfarini","GUIMARÃES, José Augusto Chaves",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2010
"MORAES, João Batista Ernesto de",,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2010
"RODRIGUEZ, Sonia Maria Troitiño",,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2016
"RODRIGUEZ, Sonia Maria Troitiño",,,,,,,,,,,Congresso Nacional de Arquivologia,2010
"FUJITA, Mariângela Spotti Lopes","PINHEIRO, Lena Vania Ribeiro",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2016
"RODRIGUEZ, Sonia Maria Troitiño","FUJITA, Mariângela Spotti Lopes","NEVES, Dulce Amélia de Brito",,,,,,,,,ISKO - Information Society for Knowledge Organization,2016
"GUIMARÃES, José Augusto Chaves","FERNANDEZ-MOLINA, Juan Carlos",,,,,,,,,,IFLA WLIC,2010
"GUIMARÃES, José Augusto Chaves","TOGNOLI, Natália Bolfarini",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2010
"FUJITA, Mariângela Spotti Lopes ","DAL´EVEDOVE, Paula Regina",,,,,,,,,,Seminário do Grupo de Pesquisa MHTX,2016
"FUJITA, Mariângela Spotti Lopes","DAL´EVEDOVE, Paula Regina","REDÍGOLO, Franciele Marques","MARTINHO, Noemi Oliveira",,,,,,,,ISKO - Information Society for Knowledge Organization,2016
"TARTAROTTI, Roberta Cristina Dal'Evedove","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2016
"TARTAROTTI, Roberta Cristina Dal'Evedove ","DAL´EVEDOVE, Paula Regina","FUJITA, Mariângela Spotti Lopes",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2016
"TARTAROTTI, Roberta Cristina Dal'Evedove","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2016
"NARUKAWA, Cristina Miyuki","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2010
"SILVA, Maria dos Remédios da","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2010
"INÁCIO, Mariana de Oliveira ","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2010
"FUJITA, Mariângela Spotti Lopes","GIL LEIVA, Isidoro",,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2010
"RAMALHO, Rogério Aparecido Sá ","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,Seminário de Pesquisa em Ontologia no Brasil,2010
"INÁCIO, Mariana de Oliveira","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,"Encontro Internacional de Informação, Conhecimento e Ação",2010
"RODAS, Cecílio Merlotti","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,Seminário em Ciência da Informação (SECIN),2016
"FERREIRA, Ana Maria Jensen Ferreira da Costa","ROA-MARTINEZ, Sandra Milena","CONEGLIAN, Caio Saraiva","VIDOTTI, Silvana Aparecida Borsetti Gregorio","SANTAREM SEGUNDO, Jose Eduardo",,,,,,,Seminário em Ciência da Informação (SECIN),2016
"ROA-MARTINEZ, Sandra Milena","VIDOTTI, Silvana Aparecida Borsetti Gregorio","GAONA, Maritza Fernanda Mera",,,,,,,,,Simpósio Internacional de Informação para a Saúde (SINFORGEDS),2016
"VIDOTTI, Silvana Aparecida Borsetti Gregorio","BASTOS, Flávia Maria","GRISOTO, Ana Paula","ARAKAKI, Felipe Augusto","FERREIRA, Juliano Benedito",,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2016
"VIDOTTI, Silvana Aparecida Borsetti Gregorio ","BASTOS, Flávia Maria","GRISOTO, Ana Paula","ARAKAKI, Felipe Augusto","FERREIRA, Juliano Benedito",,,,,,,Fórum Nacional de Repositórios Digitais,2016
"SANCHEZ, Fernanda Alves","VIDOTTI, Silvana Aparecida Borsetti Gregorio","VECHIATO, Fernando Luiz",,,,,,,,,Fórum Nacional de Repositórios Digitais,2016
"BISSET, Edgar  ","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,Congreso de Bibliotecas Universitarias (CIBU),2016
"BISSET, Edgar","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,"Encontro Internacional Dados, Tecnologia e Informação",2016
"VECHIATO, Fernando Luiz","INAFUKO, Laura Akie Saito","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU) e Seminário Internacional de Bibliotecas Digitais,2010
"BASTOS, Flávia Maria","ODDONE, Nanci Elizabeth","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2010
"SANTAREM SEGUNDO, Jose Eduardo","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2010
"VECHIATO, Fernando Luiz","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2010
"OLIVEIRA, Walter Clayton de ","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,"Encontro Internacional de Informação, Conhecimento e Ação",2010
"INAFUKO, Laura Akie Saito","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,"Encontro Internacional de Informação, Conhecimento e Ação",2010
"SANTAREM SEGUNDO, Jose Eduardo","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,"Encontro Internacional de Informação, Conhecimento e Ação",2010
"ARAYA, Elizabeth Roxana Mass ","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,"Encontro Internacional de Informação, Conhecimento e Ação",2010
"VECHIATO, Fernando Luiz ","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,"Encontro Internacional de Informação, Conhecimento e Ação",2010
"BEMBEM, Angela Halen Claro ","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,Simpósio Hipertexto e Tecnologias na Educação,2010
"FUSCO, Elvis  ","ROMANI, Lucas Salviano","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,Congresso Internacional de Educação de Ponta Grossa,2010
"FUSCO, Elvis","DOURADO, Antonio Miguel Batista","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,Congresso Internacional de Educação de Ponta Grossa,2010
"JORENTE, Maria José Vicentini","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2010
"MARTINS, Rúbia",,,,,,,,,,,"Congreso Ciencias, tecnologías y humanidades",2010
"PANSANI JUNIOR, Eder Antonio ","FERNEDA, Edberto",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2016
"REIS, Marcia Cristina dos","FERNEDA, Edberto",,,,,,,,,,Seminário em Ciência da Informação (SECIN),2016
"BAPTISTA, Fabrício","FERNEDA, Edberto",,,,,,,,,,Encontro da Associação de Educação e Investigação em Ciência da Informação da IberoAmérica e Caribe (EDICIC),2016
"BAPTISTA, Fabrício","FERNEDA, Edberto",,,,,,,,,,Seminário em Ciência da Informação (SECIN),2016
"FERNEDA, Edberto","GALVÃO, Maria Cristiane Barbosa","ROCHA, Joeli Espirito Santo",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2010
"BUFREM, Leilah Santiago","OLIVEIRA, Ely Francina Tannuri de","ALVES, Bruno Henrique",,,,,,,,,ISKO - Information Society for Knowledge Organization,2016
"ALVES, Bruno Henrique","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2016
"PAVANELLI, Maria Aparecida","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2016
"PRADO, Marcos Aparecido Rodrigues do","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2016
"GRÁCIO, Maria Cláudia Cabrini","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2010
"WOIDA, Luana Maia","OLIVEIRA, Ely Francina Tannuri de","VALENTIM, Marta Lígia Pomim",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2010
"NORTE, Mariângela Braga",,,,,,,,,,,Congresso Internacional TIC e Educação (ticEDUCA),2010
"FERREIRA, Luan Henrique Giroto","CALDAS, Rosângela Formentini","OLIVEIRA, Taynara Almeida de",,,,,,,,,Encontro da Associação de Educação e Investigação em Ciência da Informação da IberoAmérica e Caribe (EDICIC),2016
"RASTELI, Alessandro","CALDAS, Rosângela Formentini",,,,,,,,,,Encontro da Associação de Educação e Investigação em Ciência da Informação da IberoAmérica e Caribe (EDICIC),2016
"FERREIRA, Luan Henrique Giroto","CALDAS, Rosângela Formentini",,,,,,,,,,Seminário em Ciência da Informação (SECIN),2016
"RASTELI, Alessandro","CALDAS, Rosângela Formentini","BOTELHO, Aline",,,,,,,,,"Encontro Internacional Dados, Tecnologia e Informação",2016
"FERREIRA, Luan Henrique Giroto","SILVA, Rafaela Carolina","CALDAS, Rosângela Formentini",,,,,,,,,"Encontro Internacional Dados, Tecnologia e Informação",2016
"CALDAS, Rosângela Formentini","SILVA, Eduardo Graziosi","MARTÍNEZ-ÁVILA, Daniel",,,,,,,,,"Encontro Internacional Dados, Tecnologia e Informação",2016
"CALDAS, Rosângela Formentini",,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2010
"CALDAS, Rosângela Formentini",,,,,,,,,,,Congresso Internacional TIC e Educação (ticEDUCA),2010
"RASTELI, Alessandro","CALDAS, Rosângela Formentini",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2016
"RASTELI, Alessandro","CALDAS, Rosângela Formentini",,,,,,,,,,Seminario Hispano-Brasileño de Investigación,2016
"RASTELI, Alessandro","CALDAS, Rosângela Formentini",,,,,,,,,,Seminário Cultura de Paz e Educação,2016
"OLSON, Hope A.","KIPP, Margaret E. I.","MARTÍNEZ-ÁVILA, Daniel",,,,,,,,,WLA Annual Conference,2016
"MOREIRA, Walter","MORAES, Isabela Santana de",,,,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2016
"SANTOS, José Carlos Francisco","VITORINI, Érica Fernanda","MOREIRA, Walter",,,,,,,,,Seminário em Ciência da Informação (SECIN),2016
"LIMA, Larissa Mello","MOREIRA, Walter","MORAES, João Batista Ernesto de",,,,,,,,,Seminário em Ciência da Informação (SECIN),2016
"MORAES, Isabela Santana de","FERNEDA, Edberto",,,,,,,,,,Seminário em Ciência da Informação (SECIN),2016
"BAPTISTA, Fabrício","FERNEDA, Edberto","MOREIRA, Walter",,,,,,,,,Encontro da Associação de Educação e Investigação em Ciência da Informação da IberoAmérica e Caribe (EDICIC),2016
"MORAES, Isabela Santana de","MOREIRA, Walter",,,,,,,,,,Encontro da Associação de Educação e Investigação em Ciência da Informação da IberoAmérica e Caribe (EDICIC),2016
"REIS, Marcia Cristina dos","FERNEDA, Edberto","MOREIRA, Walter",,,,,,,,,Encontro da Associação de Educação e Investigação em Ciência da Informação da IberoAmérica e Caribe (EDICIC),2016
"TARTAROTTI, Roberta Cristina Dal'Evedove","FUJITA, Mariângela Spotti Lopes","MOREIRA, Walter",,,,,,,,,Encontro da Associação de Educação e Investigação em Ciência da Informação da IberoAmérica e Caribe (EDICIC),2016
"CALDAS, Rosângela Formentini","CRUZ, Renan Trindade da",,,,,,,,,,Seminário de Iniciação Científica da UFOP,2016
"VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,,,,,Colóquio Internacional da Rede Mussi,2014
"VALENTIM, Marta Lígia Pomim","CASARIN, Helen de Castro Silva","ALMEIDA, Daniela Pereira dos Reis de",,,,,,,,,Encontro da Associação de Educação e Investigação em Ciência da Informação da IberoAmérica e Caribe (EDICIC),2011
"TOGNOLLI, Natália Bolfarini","GUIMARÃES, José Augusto Chaves",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2012
"TOGNOLLI, Natália Bolfarini",,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2013
"TOGNOLI, Natália Bolfarini","REGO, Laura Maria do","SILVA, Andrieli Pachu da","SILVA, Gabriela Santos da",,,,,,,,Congreso ISKO España y Portugal,2013
"TOGNOLI, Natália Bolfarini","MILANI, Suellen Oliveira","BARROS, Thiago Henrique Bragato",,,,,,,,,Congreso ISKO España y Portugal,2011
"TOGNOLI, Natália Bolfarini","BARROS, Thiago Henrique Bragato",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"TEIXEIRA, Thiciane Mary Carvalho","VALENTIM, Marta Lígia Pomim",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"TARTAROTTI, Roberta Cristina Dal'Evedove","DAL´EVEDOVE, Paula Regina","FUJITA, Mariângela Spotti Lopes",,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"SIMIONATO, Ana Carolina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2013
"SILVA, Rafaela Carolina","CALDAS, Rosângela Formentini","SANTOS, Natany Souza dos",,,,,,,,,Encuentro Ibérico EDICIC,2015
"SILVA, Marli Vitor  ","CASARIN, Helen de Castro Silva",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"SILVA, Marcio Ferreira da","ALMEIDA, Carlos Cândido de",,,,,,,,,,Encuentro Ibérico EDICIC,2013
"SILVA, Lilian Presumido Cerqueira","GUIMARÃES, José Augusto Chaves","TOGNOLI, Natália Bolfarini",,,,,,,,,Encuentro Ibérico EDICIC,2015
"SILVA, Lilian Presumido Cerqueira","GUIMARÃES, José Augusto Chaves","TOGNOLI, Natália Bolfarini",,,,,,,,,Encuentro Ibérico EDICIC,2015
"SILVA, Deise Deolindo","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"SILVA, Deise Deolindo","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,Encuentro Ibérico EDICIC,2015
"SILVA, Andrieli Pachu da","MOREIRA, Walter","GUIMARÃES, José Augusto Chaves","MORAES, João Batista Ernesto de",,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"SEMIDÃO, Rafael Aparecido Moron","ALMEIDA, Carlos Cândido de","MOREIRA, Walter",,,,,,,,,ISKO - Information Society for Knowledge Organization,2013
"SANTOS, Cassia Dias","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Encuentro Ibérico EDICIC,2015
"SAN SEGUNDO, Rosa","MARTÍNEZ-ÁVILA, Daniel",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2012
"SAN SEGUNDO, Rosa","MARTÍNEZ-ÁVILA, Daniel",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2012
"SAN SEGUNDO, Rosa","MARTÍNEZ-ÁVILA, Daniel",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2014
"SABBAG, Deise Maria Antonio","MORAES, João Batista Ernesto de",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"RODRIGUEZ, Sonia Maria Troitiño","FONSECA, Gabrieli Aparecida da",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"REIS, Daniela Marjorie dos","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,Encuentro Ibérico EDICIC,2011
"REGO, Laura Maria dodo","GUIMARÃES, José Augusto Chaves","TOGNOLI, Natália Bolfarini",,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"RAVAZI, Francisnaira Cristina","MOREIRA, Walter",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"POTTKER, Luciana Maria Vieira","FERNEDA, Edberto",,,,,,,,,,Encuentro Ibérico EDICIC,2015
"PANDO, Daniel Abraão","ALMEIDA, Carlos Cândido de",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"PADRON, Dunia Llanes","JORENTE, Maria José Vicentini","SILVA, Anahi Rocha","SILVA, Talita Cristina da",,,,,,,,Encuentro Ibérico EDICIC,2015
"NICOLINO, Maria Elisa Valentim Pickler","FERNEDA, Edberto","PANSANI JUNIOR, Eder Antônio",,,,,,,,,Encuentro Ibérico EDICIC,2015
"NAKANO, Natalia","PADUA, Mariana Cantisani","JORENTE, Maria José Vicentini",,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"NAKANO, Natalia","JORENTE, Maria José Vicentini",,,,,,,,,,Encuentro Ibérico EDICIC,2013
"MOREIRA, Walter","MORAES, Isabela Santana de",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"MOREIRA, Walter","DAVANZO, Luciana","MORAES, Isabela Santana de",,,,,,,,,Congreso ISKO España y Portugal,2015
"MORAES, João Batista Ernesto de",,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2012
"MORAES, João Batista Ernesto de","MARTINS, Gracy Kelli",,,,,,,,,,Congreso ISKO España y Portugal,2013
"MORAES, João Batista Ernesto de","CÂNDIDO, Gilberto Gomes",,,,,,,,,,Congreso ISKO España y Portugal,2013
"MORAES, João Batista Ernesto de","BARROS, Thiago Henrique Bragato",,,,,,,,,,Encuentro Ibérico EDICIC,2013
"MILANI, Suellen Oliveira","GUIMARÃES, José Augusto Chaves","OLSON, Hope A.",,,,,,,,,ISKO - Information Society for Knowledge Organization,2014
"MATOS, Daniela Fernanda de Oliveira","GUIMARÃES, José Augusto Chaves","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,Congreso ISKO España y Portugal,2015
"OLIVEIRA, Henry Poncio Cruz de","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,Congreso ISKO España y Portugal,2013
"MARTÍNEZ-ÁVILA, Daniel",,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2012
"MARTÍNEZ-ÁVILA, Daniel",,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2012
"MARTÍNEZ-ÁVILA, Daniel","KIPP, Margaret E. I.","OLSON, Hope A.",,,,,,,,,ISKO - Information Society for Knowledge Organization,2013
"MARTÍNEZ-ÁVILA, Daniel","GUIMARÃES, José Augusto Chaves",,,,,,,,,,Congreso ISKO España y Portugal,2015
"MARTÍNEZ-ÁVILA, Daniel","GUIMARÃES, José Augusto Chaves","SAN SEGUNDO, Rosa",,,,,,,,,Congreso ISKO España y Portugal,2013
"MARTÍNEZ-ÁVILA, Daniel","FOX, Melodie",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"MARTÍNEZ-ÁVILA, Daniel","FOX, Melodie","OLSON, Hope A.",,,,,,,,,ISKO - Information Society for Knowledge Organization,2012
"MARTÍNEZ-ÁVILA, Daniel","ATIJA, Mohinder Partap",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"MADIO, Telma Campanha de Carvalho","ANCONA LOPEZ, André Porto",,,,,,,,,,Congreso Internacional de Documentación Fotográfica,2014
"LIMA, Vânia Mara Alves","VITORIANO, Marcia Cristina de Carvalho Pazin","BARBANTI, Cristina Hisldorf",,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"LIMA, Lidyane Silva","CUSTÓDIO, Pollyana Agata Gomes da Rocha","OLIVEIRA, Ely Francina Tannuri de","BUFREM, Leilah Santiago",,,,,,,,Congreso ISKO España y Portugal,2015
"LIMA, Larissa de Mello","MARTÍNEZ-ÁVILA, Daniel","MORAES, João Batista Ernesto de",,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"LANZI, Lucirene Andréa Catini","VIDOTTI, Silvana Aparecida Borsetti Gregorio","FERNEDA, Edberto",,,,,,,,,Congreso ISKO España y Portugal,2015
"LANZI, Lucirene Andréa Catini","SANTOS, Camila Araújo dos","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,Conferência Internacional EUTIC,2015
"JORENTE, Maria José Vicentini",,,,,,,,,,,International Conference on Electronic Publishing ,2012
"GUIMARÃES, José Augusto Chaves",,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2013
"GUIMARÃES, José Augusto Chaves",,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2012
"GUIMARÃES, José Augusto Chaves","DALESSANDRO, Rafael Cacciolari","MARTÍNEZ-ÁVILA, Daniel",,,,,,,,,Congreso ISKO España y Portugal,2015
"GUIMARÃES, José Augusto Chaves","TENNIS, Joseph T..",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2012
"GUIMARÃES, José Augusto Chaves","SALES, Rodrigo de",,,,,,,,,,Congreso ISKO España y Portugal,2013
"GUIMARÃES, José Augusto Chaves","SALES, Rodrigo de",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2012
"GUIMARÃES, José Augusto Chaves","SALES, Rodrigo de","SANTOS, André Ynada dos","MATOS, Daniela Fernanda de Oliveira",,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"GUIMARÃES, José Augusto Chaves","SALES, Rodrigo de","MARTÍNEZ-ÁVILA, Daniel","ALENCAR, Maíra Fernandes",,,,,,,,ISKO - Information Society for Knowledge Organization,2014
"GUIMARÃES, José Augusto Chaves","PINHO, Fabio Assis",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2012
"GUIMARÃES, José Augusto Chaves","OLIVEIRA, Ely Francina Tannuri de","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,ISKO - Information Society for Knowledge Organization,2012
"GUIMARÃES, José Augusto Chaves","OLIVEIRA, Ely Francina Tannuri de","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,Congreso ISKO España y Portugal,2011
"GUIMARÃES, José Augusto Chaves","MATOS, Daniela Fernanda de Oliveira","LOPES, Jéssica de Araújo","FERNANDEZ-MOLINA, Juan Carlos",,,,,,,,Congreso ISKO España y Portugal,2013
"GUIMARÃES, José Augusto Chaves","LIBERATORE, Gustavo","CARVALHO, Heloísa","DALESSANDRO, Rafael Cacciolari",,,,,,,,Encuentro Ibérico EDICIC,2013
"GUIMARÃES, José Augusto Chaves","FERREIRA, Gustavo Meletti","FREITAS, Maria Fernanda Mendes e",,,,,,,,,Congreso ISKO España y Portugal,2011
"GUIMARÃES, José Augusto Chaves","EVANGELISTA, Isadora Victorino",,,,,,,,,,Encuentro Ibérico EDICIC,2015
"GUIMARÃES, José Augusto Chaves","EVANGELISTA, Isadora Victorino",,,,,,,,,,Congreso ISKO España y Portugal,2015
"GUIM, Vera Lúcia Ribeiro","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
