Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"SANCHEZ, Fernanda Alves","VIDOTTI, Silvana Aparecida Borsetti Gregorio","SANTAREM SEGUNDO, José Eduardo","VECHIATO, Fernando Luiz",,,,,,,,,,Encontro Internacional Dados Tecnologia e Informação,2016
"BASTOS, Gustavo Grandini ","ROMÃO, Lucília Maria Sousa",,,,,,,,,,,," Seminário de Estudos da Linguagem, Educação e Tecnologia",2010
"ROMÃO, Lucília Maria Sousa",,,,,,,,,,,,," Seminário de Estudos da Linguagem, Educação e Tecnologia",2010
"BATISTA, Lucinéia da Silva ","SILVA, Talita Cristina da","SANTAREM SEGUNDO, José Eduardo","JORENTE, Maria José Vicentini ",,,,,,,,,,Encontro Internacional Dados Tecnologia e Informação,2016
"CONEGLIAN, Caio Saraiva","LUZ, Larissa Pavarini da","SANTAREM SEGUNDO, José Eduardo ",,,,,,,,,,,Encontro Internacional Dados Tecnologia e Informação,2016
"SOUZA, Jessica Oliveira","SANTAREM SEGUNDO, José Eduardo","VIDOTTI, Silvana Aparecida Borsetti Gregorio ","SANCHEZ, Juan Antonio Pastor",,,,,,,,,,Encontro Internacional Dados Tecnologia e Informação,2016
"BASTOS, Gustavo Grandin","ROMÃO, Lucília Maria Sousa",,,,,,,,,,,," Seminário de Estudos da Linguagem, Educação e Tecnologia",2010
"ROMÃO, Lucília Maria Sousa ",,,,,,,,,,,,,Feira do Livro de Ribeirão Preto,2010
"MENDEZ, Héctor René Mena","ALMEIDA, Marco Antônio de",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2016
"CASTRO FILHO, Cláudio Marcondes","ALMEIDA, Marco Antônio de",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2010
"FERREIRA, Sueli Mara Soares Pinto",,,,,,,,,,,,, Congreso Internacional de Bibliotecas Universitarias,2016
"FERREIRA, Sueli Mara Soares Pinto","ABDALLA, Eidi Raquel Franco","GOMI, Edson Satoshi","HAAR, Ewout ter","DUDZIAK, Elisabeth","FISCHI, Rosa Maria",,,,,,,,Conferência Luso-Brasileira de Acesso Aberto,2010
"ARAUJO, Andre Vieira de Freitas","CRIPPA, Giulia","SABBA, Fiammetta",,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2016
"CRIPPA, Giulia","SABBAG, Deise Maria Antonio","SILVA, Márcia Regina da",,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2016
"SANTAREM SEGUNDO, José Eduardo","CONEGLIAN, Caio Saraiva",,,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"CRIPPA, Giulia",,,,,,,,,,,,,Jornada Científica Internacional da Rede Mussi,2012
"CONEGLIAN, Caio Saraiva","FUSCO, Elvis","SANTAREM SEGUNDO, José Eduardo",,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"ARAUJO, André Vieira de Freitas","CRIPPA, Giulia",,,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
