idPeriodico,nome,avaliacao,webqualis,classificacao
264,Revista Inteligência Competitiva,Interdisciplinar,C,Nacional
315,Revista Letras (UFSM),Interdisciplinar,C,Nacional
269,Revista Observatório Itaú Cultural,Comunicação e Informação,C,Nacional
10,Revista UniVap,Comunicação e Informação,C,Nacional
40,Série Acadêmica (PUCAMP),Letras e Linguística ,C,Nacional
243,Todas as Musas: Revista de Literatura e das Múltiplas Linguagens da Arte (Online),Comunicação e Informação,C,Nacional
289,Trilha Digital,Comunicação e Informação,C,Nacional
82,Verbo,Comunicação e Informação,C,Nacional
330,Revista Letras,Interdisciplinar,C,Nacional
207,Archeion,Comunicação e Informação,C,Nacional
140,ALISS Quarterly,NULL,NULL,Internacional
216,Boletín electrónico ABGRA,NULL,NULL,Internacional
110,Competitive Intelligence Magazine,NULL,NULL,Internacional
197,Crítica bibliotecológica: Revista de las ciencias de la información documental,NULL,NULL,Internacional
318,"Errâncias de um imaginário: entre Brasil, Cabo Verde e Portugal",NULL,NULL,Internacional
182,Fuentes - Revista de la Biblioteca y Archivo Histórico de la Asamblea Legislativa Plurinacional,NULL,NULL,Internacional
387,Icarahy,NULL,NULL,Internacional
167,Information Services & Use,NULL,NULL,Internacional
249,Journal of Education and Vocational Research,NULL,NULL,Internacional
246,Journal of Educational an Social Research,NULL,NULL,Internacional
265,Journal of Intelligence Studies in Business,NULL,NULL,Internacional
177,Journal of Organizational Knowledge Management,NULL,NULL,Internacional
224,Nuovi Annali della Scuola Speciale per Archivisti e Bibliotecari,NULL,NULL,Internacional
87,Revista EDICIC,NULL,NULL,Internacional
385,Revista Iberoamericana de Discurso y Sociedad,NULL,NULL,Internacional
361,Ricerche di S/Confine,NULL,NULL,Internacional
17,A trabe de Ouro,NULL,NULL,Nacional
295,Coletâneas do Nosso Tempo,NULL,NULL,Nacional
238,Cosmopolis,NULL,NULL,Nacional
9,DI Factum,NULL,NULL,Nacional
176,Do Outro Lado da Informação,NULL,NULL,Nacional
273,Informe: Estudos em Biblioteconomia e Gestão da Informação,NULL,NULL,Nacional
390,Linguagens e Diálogos,NULL,NULL,Nacional
4,Reenvap - Revista Eletrônica de Enfermagem do Vale do Paraíba,NULL,NULL,Nacional
199,Revista Biblioo,NULL,NULL,Nacional
299,Revista das Faculdades Santa Cruz,NULL,NULL,Nacional
230,Revista de educação cultura e comunicação - Fatea,NULL,NULL,Nacional
391,Revista do Centro de Pesquisa e Formação do SESC,NULL,NULL,Nacional
280,Revista Errata,NULL,NULL,Nacional
376,Revista Primeiros Passos,NULL,NULL,Nacional
148,RevIU. Revista Informação & Universidade,NULL,NULL,Nacional
291,Suplemento Signos EAD,NULL,NULL,Nacional
166,Revista de educação cultura e comunicação do Curso de Comunicação Social das Faculdades Integradas Teresa D'Ávila - Fatea,NULL,NULL,Nacional
279,ZIF,NULL,NULL,Internacional
