nome,avaliacao,webqualis,classificacao
International Journal of Library and Information Science,Comunicação e Informação,C,Internacional
International Journal of Project Management,Administração publica,A1,Internacional
"International Journal, Advanced Manufacturing Technology",Administração publica,A1,Internacional
InterScientia,Comunicação e Informação,B5,Nacional
Intersecções,Interdisciplinar,B1,Nacional
Investigación Bibliotecológica,Comunicação e Informação,A1,Internacional
Iris (Grenoble),Comunicação e Informação,B3,Nacional
Journal of Business Research,Interdisciplinar,A2,Internacional
Journal of Community Informatics,Interdisciplinar,B3,Internacional
Journal of Documentation,Comunicação e Informação,A1,Internacional
Journal of Education and Vocational Research,,,Internacional
Journal of Educational an Social Research,,,Internacional
Journal of Information Science Theory and Practice,Comunicação e Informação,B5,Internacional
Journal of Intelligence Studies in Business,,,Internacional
Journal of Organizational Knowledge Management,,,Internacional
Journal of Responsible Innovation,Interdisciplinar,B3,Internacional
Journal of Scientometric Research,Comunicação e Informação,C,Internacional
"Journal of Systemics, Cybernetics and Informatics",Comunicação e Informação,B5,Internacional
Journal of Technology Management & Innovation,Comunicação e Informação,B3,Internacional
Journal of The American Society For Information Science and Technology (Online),Comunicação e Informação,A1,Internacional
Journal on Advances in Theoretical and Applied Informatics,Interdisciplinar,B4,Internacional
Knowledge Organization,Comunicação e Informação,A1,Internacional
Labor & Engenho,Comunicação e Informação,B5,Nacional
LaborHistórico,História,B4,Nacional
Leitura. Teoria & Prática,Interdisciplinar,B3,Nacional
Letras (UFSM),Comunicação e Informação,B3,Nacional
Liinc em Revista,Comunicação e Informação,B1,Nacional
Língua e Instrumentos Linguísticos,Interdisciplinar,B2,Nacional
Linguagem em (Dis)curso (Impresso),Interdisciplinar,B1,Nacional
Linguagens e Diálogos,,,Nacional
Línguas & Letras (UNIOESTE),Ensino,B1,Nacional
Linguasagem (São Paulo),Interdisciplinar,B1,Nacional
Linha Mestra (Associação de Leitura do Brasil),Comunicação e Informação,B4,Nacional
Livro Zero: Revista de Psicanálise,Interdisciplinar,C,Nacional
Logeion: Filosofia da Informação,Comunicação e Informação,B5,Nacional
Logos (UERJ. Impresso),Comunicação e Informação,B1,Nacional
Lumina (UFJF. Online),Comunicação e Informação,B1,Nacional
Lusorama,Comunicação e Informação,C,Internacional
Materials Research (São Carlos. Impresso),Interdisciplinar,B2,Nacional
Matrizes (USP. Impresso),Comunicação e Informação,A2,Nacional
Mediadoc,Comunicação e Informação,B3,Internacional
Mediterranean Journal of Social Sciences,Comunicação e Informação,B4,Internacional
Mnemonise Revista,Comunicação e Informação,B5,Nacional
Modapalavra E-periódico,Comunicação e Informação,B5,Nacional
Múltiplos Olhares em Ciência da Informação,Comunicação e Informação,B5,Nacional
MundoPM (Curitiba),Administração publica,C,Nacional
Museologia e Patrimônio,Comunicação e Informação,B1,Nacional
Nona Arte - Revista Brasileira de Pesquisa em HQ,Comunicação e Informação,B4,Nacional
Nuovi Annali della Scuola Speciale per Archivisti e Bibliotecari,,,Internacional
Observatorio (OBS*),Comunicação e Informação,B1,Nacional
Páginas A & B. Arquivos & Bibliotecas,Comunicação e Informação,B4,Nacional
Pandaemonium Germanicum (Online),Letras e Linguística ,A1,Nacional
Percursos (Florianópolis. Online),Comunicação e Informação,B5,Nacional
Periódico Permanente,Comunicação e Informação,B5,Nacional
Perspectivas em Ciência da Informação (Online),Comunicação e Informação,A1,Nacional
Perspectivas em Gestao & Conhecimiento,Comunicação e Informação,B1,Nacional
Perspectivas: Revista de Ciências Sociais (UNESP. Araraquara. Impresso),Comunicação e Informação,B5,Nacional
Pesquisa & Desenvolvimento Engenharia de Produção,Interdisciplinar,B2,Nacional
Pesquisa Brasileira em Ciência da Informação e Biblioteconomia,Comunicação e Informação,B1,Nacional
